id,premises,question_id,conclusion,label
AttNoneg-OWA-D3-226,"Bob is rough.
Dave is cold.
Round people are big.
If someone is cold and round then they are green.
All blue people are rough.
If someone is round then they are nice.
If someone is big and round then they are cold.
If someone is rough then they are round.
Nice, big people are green.
If Bob is green and Bob is rough then Bob is nice.",Q13,Dave is not blue.,Uncertain
AttNeg-OWA-D3-1629,"Bob is white.
Erin is young.
Gary is white.
All white, young things are not smart.
All rough things are not smart.
Green things are cold.
If something is rough then it is not green.
Young things are green.
Rough, young things are blue.
White things are young.
If something is white and not rough then it is young.",Q13,Erin is not white.,Uncertain
AttNoneg-OWA-D3-819,"Charlie is green.
Charlie is kind.
Charlie is quiet.
Charlie is white.
Dave is furry.
Dave is quiet.
Dave is rough.
Dave is smart.
Erin is quiet.
Gary is furry.
Gary is kind.
Gary is rough.
All furry, rough people are quiet.
If someone is green and smart then they are quiet.
All furry, quiet people are kind.
All white, furry people are kind.
If Dave is white and Dave is kind then Dave is green.
If someone is quiet then they are kind.
All kind people are white.
White, green people are smart.",Q10,Gary is smart.,Uncertain
AttNonegNatLang-OWA-92,"That guy Alan sure is nice.
Bob is kind and nice and looks green.
Harry is a young man who is rather round and kind.
 Harry is feeling blue because he has a sunburn that is making him rather red and he is also rather ill which makes him appear green.
A very nice person who is also green is certainly kind.
If someone plays rough and is nice and round, they will be big.
When someone is kind yet can be cold and blue, they will also be very big.
A person who is kind and rough and blue is young.
People turn green when they are feeling blue.
When someone is colored blue and is both kind and nice to others then they are cold.
A nice and green man or woman is also red in color.",Q14,Alan is round.,Uncertain
RelNoneg-OWA-D0-4550,"The bald eagle visits the rabbit.
The rabbit chases the bald eagle.
The rabbit visits the bald eagle.
If something chases the bald eagle and it visits the bald eagle then it sees the bald eagle.
If something sees the rabbit then the rabbit chases the bald eagle.
If something is red and it chases the rabbit then the rabbit is big.",Q1,The rabbit visits the bald eagle.,True
AttNonegNatLang-OWA-209,"Charlie is round but he is also nice and kind.
Dave is both young and red, but is nice and kind but he can be cold.
The young person who is always feeling cold is named Fred.
Gary may be round, but he is also kind.
Young people that are turning blue from being cold will be rough looking.
When you meet someone who is nice and kind, they wont feel blue.
A person that is both nice and rough is someone who is also big.
Kind people that are round are on the big side.
Cold and red people are always kind to others.
A cold blue person who is rough is also kind.",Q5,Dave is rough.,True
AttNoneg-OWA-D2-2298,"Dave is big.
Dave is quiet.
Dave is rough.
Dave is smart.
Fiona is kind.
Fiona is quiet.
Gary is green.
Gary is kind.
Harry is big.
Harry is furry.
Harry is kind.
Harry is smart.
Quiet, furry things are green.
All furry, rough things are quiet.
If Fiona is quiet then Fiona is furry.",Q1,Dave is smart.,True
RelNeg-OWA-D3-626,"The bald eagle eats the rabbit.
The bald eagle is not blue.
The bald eagle sees the mouse.
The bald eagle sees the tiger.
The mouse is not kind.
The rabbit is kind.
The rabbit is round.
The tiger is blue.
The tiger is green.
The tiger sees the rabbit.
If the mouse is young and the mouse eats the bald eagle then the mouse needs the rabbit.
If something is blue then it eats the mouse.
If something is kind and not young then it eats the mouse.
If something sees the tiger then it eats the rabbit.
If something sees the rabbit then the rabbit is not blue.
If something eats the mouse then the mouse is blue.
If something needs the rabbit and the rabbit eats the tiger then the tiger sees the rabbit.
If something eats the mouse and the mouse eats the tiger then the mouse does not see the rabbit.",Q14,The tiger is round.,Uncertain
AttNoneg-OWA-D3-1338,"Fiona is big.
Fiona is furry.
Fiona is quiet.
All furry things are nice.
If something is quiet and furry then it is rough.
If Fiona is big and Fiona is white then Fiona is quiet.
If something is white then it is smart.
If Fiona is nice then Fiona is big.
If Fiona is rough then Fiona is white.",Q8,Fiona is not smart.,False
AttNonegNatLang-OWA-278,"The young person who is always feeling cold is named Charlie.
Eric is kind.
He is also very cold and blue.
Fred seems to be round.
Harry is green and cold too.
A person who is cold and blue is nice.
People who have red coloration usually treat people in a kind manner.
They are also usually young looking.
Some cold people can be nice at times,and red at at other times.
When someone is colored blue and is both kind and nice to others then they are cold.",Q9,Harry is not young.,Uncertain
AttNoneg-OWA-D3-1897,"Anne is nice.
Bob is red.
Bob is rough.
Bob is young.
Charlie is red.
Harry is round.
Harry is white.
If Harry is nice then Harry is big.
All young, white people are round.
Red people are nice.
If Charlie is nice and Charlie is round then Charlie is red.
Rough, red people are big.
All big people are white.",Q11,Harry is not big.,Uncertain
AttNeg-OWA-D3-626,"Dave is big.
Dave is cold.
Dave is furry.
Dave is not red.
Dave is round.
Fiona is not red.
Fiona is round.
If someone is red and not blue then they are big.
All furry people are big.
If someone is kind and not red then they are furry.
If Fiona is round then Fiona is kind.
If Fiona is round then Fiona is cold.
Blue people are round.
If someone is red and not kind then they are cold.
All round people are cold.",Q1,Dave is not red.,True
AttNeg-OWA-D3-554,"Anne is kind.
Fiona is blue.
Fiona is nice.
Fiona is not round.
Fiona is young.
Gary is blue.
Gary is nice.
Gary is quiet.
Harry is blue.
Harry is round.
If something is blue then it is white.
Nice, quiet things are white.
If something is blue then it is white.
If something is round then it is white.
All white, quiet things are kind.
If Gary is kind then Gary is not young.",Q13,Anne is not blue.,Uncertain
RelNeg-OWA-D1-546,"The bear needs the cat.
The cat needs the bear.
The lion chases the bear.
The lion needs the bear.
The lion needs the cat.
The lion sees the bear.
The lion sees the cat.
If something is round and it needs the lion then the lion sees the bear.
If the lion needs the bear and the lion sees the bear then the bear is blue.
If the bear is green and the bear is rough then the bear is blue.
If something sees the lion and the lion sees the cat then the lion chases the bear.
If something chases the lion then the lion does not chase the bear.
If something sees the bear and it is cold then it is not round.
If something needs the cat then it is round.
If something chases the bear and the bear sees the lion then the bear chases the lion.",Q5,The bear does not chase the lion.,Uncertain
RelNeg-OWA-D3-650,"The bear does not chase the mouse.
The bear eats the lion.
The bear is green.
The bear is round.
The bear is young.
The bear does not need the mouse.
The lion does not chase the mouse.
The lion eats the tiger.
The mouse chases the bear.
The mouse does not eat the lion.
The mouse is young.
The mouse does not need the bear.
The mouse needs the lion.
The tiger chases the mouse.
The tiger eats the bear.
The tiger is round.
If the tiger eats the mouse and the mouse is young then the mouse is red.
If someone is young then they need the tiger.
If someone needs the tiger and they are not young then they are red.
If someone is red then they chase the mouse.
If the tiger is young and the tiger is red then the tiger needs the mouse.
If someone is round then they eat the mouse.
If the tiger needs the bear and the tiger does not chase the lion then the bear eats the lion.
If the bear is not red and the bear does not need the mouse then the bear chases the mouse.",Q3,The bear eats the mouse.,True
RelNoneg-OWA-D3-1597,"The bald eagle chases the rabbit.
The bald eagle needs the cat.
The bald eagle needs the rabbit.
The bald eagle visits the cat.
The cat is big.
The cat is kind.
The cat needs the bald eagle.
The rabbit is big.
The rabbit is cold.
The rabbit needs the cat.
The rabbit visits the bald eagle.
The rabbit visits the cat.
If something visits the cat then it needs the cat.
If something visits the rabbit then the rabbit visits the bald eagle.
If something visits the cat and the cat visits the bald eagle then the bald eagle visits the rabbit.
If something needs the cat then it needs the rabbit.
If something needs the bald eagle then it visits the cat.
If the rabbit is kind and the rabbit needs the cat then the rabbit needs the bald eagle.
If something is kind and it needs the rabbit then the rabbit visits the bald eagle.
If something needs the rabbit then it visits the rabbit.",Q15,The bald eagle is not big.,Uncertain
AttNoneg-OWA-D3-924,"Anne is big.
Anne is red.
Bob is big.
Bob is kind.
Bob is round.
Bob is smart.
Bob is white.
If Anne is kind then Anne is red.
Red, smart people are white.
If Bob is white then Bob is kind.
If someone is big and red then they are kind.
All white, round people are smart.
All kind people are round.
All round, blue people are white.
Big people are blue.",Q7,Anne is white.,True
RelNeg-OWA-D1-728,"The dog is big.
The dog is not green.
The dog is not red.
The dog is round.
The dog needs the lion.
The dog sees the lion.
The dog visits the lion.
The lion is not big.
The lion is green.
The lion is kind.
The lion is red.
The lion is round.
The lion needs the dog.
The lion sees the dog.
The lion visits the dog.
If the lion visits the dog and the dog visits the lion then the lion sees the dog.
If something visits the lion then it does not see the dog.
If something needs the lion and it does not visit the lion then the lion needs the dog.",Q8,The dog is kind.,Uncertain
RelNoneg-OWA-D2-1760,"The bald eagle is green.
The bald eagle is red.
The tiger is red.
If something visits the bald eagle and it is blue then the bald eagle likes the tiger.
If something visits the bald eagle and it is red then the bald eagle needs the tiger.
If something needs the bald eagle and the bald eagle is red then the bald eagle likes the tiger.
If something is green then it needs the bald eagle.
If something visits the bald eagle then the bald eagle visits the tiger.
If something is blue and it likes the tiger then the tiger likes the bald eagle.",Q12,The bald eagle visits the bald eagle.,Uncertain
RelNoneg-OWA-D3-527,"The bald eagle eats the lion.
The bald eagle eats the tiger.
The bald eagle is green.
The bald eagle needs the mouse.
The bald eagle sees the mouse.
The bald eagle sees the tiger.
The lion eats the bald eagle.
The lion eats the mouse.
The lion is red.
The lion needs the mouse.
The mouse is red.
The mouse is round.
The mouse needs the lion.
The mouse sees the bald eagle.
The mouse sees the lion.
The tiger needs the lion.
If someone needs the mouse and they need the tiger then the mouse is green.
If someone is nice and they need the mouse then they eat the mouse.
If someone is green and they see the tiger then the tiger needs the bald eagle.
If someone is round and they see the tiger then the tiger is red.
If someone sees the bald eagle then the bald eagle is cold.
If someone is green then they need the tiger.",Q8,The mouse does not need the tiger.,False
AttNonegNatLang-OWA-208,"Charlie is a really nice guy with a big round body, usually wearing red.
Dave seems to be round.
That guy Eric sure is nice.
Fred is still young, which explains why he is round and cold, however, most people still think Fred is nice.
Some cold people can be nice at times,and red at at other times.
Rough people who are red in color and big are usally round in shape.
I've noticed that nice people who have rough, green skin have a tendancy to be round.
Having cold and red qualities means a person will also have a rough quality.
Is a kind person if feeling cold and looking red then they are usually young.
Red people, who are also round and young, are often quite blue as well.
When someone is blue, nice and young they will also be as big as the sun.",Q11,Charlie is not blue.,Uncertain
AttNonegNatLang-OWA-436,"Bob may be young but he is nice, wears green shoes and is cold.
Eric was proud of being round, yet rough.
His red cheeks glowed.
Fred is feeling cold -- he is also feeling quite rough, red, nice and round.
Folks who are rough and tumble yet gentle and kind are blue.
When green, young and round fits a person, you'll see that rough will also fit.
Cold and red people are always kind to others.
If you know someone who is nice, green, and big, you know a young person.
A person who is cold and red and blue is big.",Q6,Fred is not blue.,False
AttNoneg-OWA-D0-263,"Bob is furry.
Bob is rough.
Bob is white.
Bob is young.
Charlie is green.
Charlie is quiet.
Charlie is rough.
Charlie is round.
Charlie is young.
Harry is furry.
Harry is green.
Harry is quiet.
Harry is rough.
Harry is round.
Harry is white.
Harry is young.
Round things are white.
If something is rough then it is furry.
All rough things are furry.",Q1,Charlie is young.,True
RelNoneg-OWA-D3-204,"The dog is big.
If the dog is young then the dog is blue.
Big things are kind.
All kind things are young.",Q11,The dog is not cold.,Uncertain
RelNoneg-OWA-D3-1383,"The rabbit is cold.
If something is rough and kind then it is blue.
Nice, rough things are kind.
If the rabbit is cold then the rabbit is nice.
Kind things are nice.
Cold things are kind.
All nice things are rough.",Q3,The rabbit is nice.,True
AttNonegNatLang-OWA-243,"That guy Alan sure is nice.
Bob is cold but nice with red hair and dresses green.
Young Dave here is always rough but nice and yes he is big.
Eric seems to be round.
If you run across a young person with rough skin and a round figure, you can count on them being kind.
When you meet someone who is nice and kind, they wont feel blue.
Even though young people are rough, they are still very red.
Rough, cold people are blue.
Big people who are blue and red are afflicted with rough skin.
A young person who is big and rough and big is also usually round.
People who are round and green while being cold are also red.",Q15,Alan is not big.,Uncertain
RelNoneg-OWA-D0-4160,"The cow is cold.
The cow is kind.
The cow is red.
The cow is rough.
The cow is round.
All cold people are red.
Rough people are kind.
If someone is kind and round then they are cold.
All kind people are cold.
If someone is rough then they are red.
All cold people are round.",Q1,The cow is round.,True
RelNoneg-OWA-D3-713,"The mouse chases the squirrel.
The mouse is big.
The mouse is blue.
The mouse is young.
The mouse sees the squirrel.
The squirrel is big.
The squirrel is blue.
The squirrel is round.
The squirrel sees the mouse.
The squirrel visits the mouse.
If something visits the mouse then the mouse chases the squirrel.
If the squirrel sees the mouse and the squirrel is young then the squirrel is round.
If something is nice then it visits the mouse.
If something is big and it chases the squirrel then it visits the squirrel.
If the squirrel visits the mouse and the mouse visits the squirrel then the mouse is nice.
If something chases the squirrel and the squirrel chases the mouse then it visits the squirrel.",Q3,The mouse visits the squirrel.,True
AttNoneg-OWA-D0-4463,"Bob is smart.
Erin is blue.
Erin is green.
Erin is red.
Erin is rough.
Harry is red.
Harry is smart.
Furry things are smart.
If something is smart and green then it is furry.",Q3,Harry is not furry.,Uncertain
AttNonegNatLang-OWA-200,"Alan is big, rough and red, but that's because he's often blue.
Really, his is nice and kind.
Dave is cold to his ex-wife.
She knows he is round and red.
He is kind to everyone else.
Fred is green and cold too.
If a person is described as being nice, cold and young it usually follow that they are red.
A person who is blue, red and nice is usually considered to be a young person.
It's pretty typical of red, rough, and cold people to be round.
A young aged and big blue person will definitely be cold.
A kind person will certainly be young.",Q12,Eric is young.,Uncertain
RelNeg-OWA-D3-1576,"The bear eats the squirrel.
The bear is cold.
The bear is nice.
The bear needs the tiger.
The squirrel chases the bear.
The squirrel is cold.
The squirrel is young.
The squirrel needs the bear.
The tiger does not eat the bear.
The tiger is young.
If the bear chases the tiger and the tiger does not eat the squirrel then the tiger chases the bear.
If something eats the tiger then it chases the squirrel.
If something needs the tiger then it eats the tiger.
All blue things are nice.
If something eats the squirrel then it is blue.
If something eats the squirrel and the squirrel chases the bear then the squirrel needs the tiger.
If the tiger chases the squirrel and the squirrel does not eat the tiger then the squirrel is not green.
If something is nice and it does not chase the bear then it needs the squirrel.",Q14,The tiger is cold.,Uncertain
AttNeg-OWA-D3-1717,"Bob is big.
Bob is blue.
Bob is nice.
Fiona is cold.
Fiona is nice.
Fiona is not rough.
Gary is blue.
Gary is kind.
Gary is nice.
Harry is big.
Harry is cold.
Harry is rough.
All blue things are big.
If Gary is big and Gary is not kind then Gary is blue.
Big, cold things are red.
All big things are cold.
All rough, blue things are nice.
If something is nice and blue then it is rough.",Q1,Fiona is nice.,True
AttNoneg-OWA-D0-4464,"Anne is red.
Anne is young.
Bob is smart.
Fiona is furry.
Fiona is smart.
Gary is cold.
Gary is smart.
If someone is blue then they are nice.
If someone is nice then they are red.
Nice, smart people are young.
All furry people are blue.
If someone is blue then they are red.
If Fiona is cold then Fiona is smart.
If someone is furry then they are smart.
Red, furry people are smart.",Q3,Anne is not nice.,Uncertain
AttNeg-OWA-D3-1203,"Charlie is big.
Charlie is blue.
Fiona is not blue.
Fiona is furry.
Fiona is red.
Fiona is not round.
Gary is not big.
Gary is cold.
Harry is big.
Harry is red.
Harry is round.
Harry is young.
Blue things are young.
If Gary is round and Gary is cold then Gary is not furry.
Young, cold things are furry.
All young things are furry.
If something is furry and not young then it is red.
All furry things are red.",Q9,Gary is not furry.,Uncertain
RelNeg-OWA-D3-991,"The bald eagle is big.
The bear needs the cat.
The cat does not chase the bald eagle.
The lion is big.
If someone is kind then they do not eat the lion.
If the bald eagle is big then the bald eagle needs the lion.
If someone is rough and they chase the bear then they do not need the bear.
If someone needs the lion then the lion is kind.
If someone needs the bear then they chase the lion.
If someone chases the bear and they are kind then the bear chases the bald eagle.",Q16,The bald eagle is rough.,Uncertain
RelNeg-OWA-D3-1427,"The cat eats the rabbit.
The rabbit eats the tiger.
The tiger sees the cat.
If the tiger does not see the rabbit then the tiger is round.
If the cat needs the tiger then the tiger is round.
If something needs the cat then the cat does not need the tiger.
If something sees the tiger then the tiger is big.
If the tiger is round then the tiger needs the rabbit.
If something eats the rabbit then it needs the tiger.",Q2,The tiger does not see the cat.,False
AttNeg-OWA-D3-907,"Bob is cold.
Bob is red.
Charlie is blue.
Erin is not furry.
Gary is not blue.
Gary is kind.
Gary is nice.
If something is big and red then it is furry.
If something is cold then it is blue.
Blue things are big.",Q2,Charlie is not blue.,False
AttNonegNatLang-OWA-272,"Alan is a big guy who is colored red from a sunburn.
He also has a cold.
Eric seems to be round.
Gary was proud of being round, yet rough.
His red cheeks glowed.
Harry seems big and rough, but he's actually quite kind.
Even though young people are rough, they are still very red.
Anybody young person covered in blue and green will be kind.
Anyone who is both red and green must be as cold as Christmas.
Anyone having rough, cold and green qualities will also have a big quality.
Most young kind people tend to be red too.
If someone shows that they are red, then they are also showing that they are green.",Q5,Gary is cold.,True
RelNoneg-OWA-D1-91,"The cow is big.
The cow is blue.
The cow likes the squirrel.
The cow sees the lion.
The lion eats the cow.
The lion eats the squirrel.
The lion is big.
The lion is kind.
The lion is nice.
The squirrel eats the cow.
The squirrel is kind.
The squirrel is nice.
If someone likes the cow then they are red.
If someone is big then they like the squirrel.",Q3,The lion likes the squirrel.,True
AttNeg-OWA-D3-345,"Anne is cold.
Bob is nice.
Erin is red.
Harry is not smart.
Furry things are quiet.
Red, quiet things are young.
All cold, nice things are furry.
Red things are furry.
If something is quiet and cold then it is furry.
If something is red then it is smart.",Q16,Erin is cold.,Uncertain
AttNoneg-OWA-D2-1103,"Anne is big.
Anne is cold.
Anne is nice.
Anne is smart.
Anne is white.
Bob is big.
Bob is red.
Bob is round.
Bob is smart.
Fiona is nice.
Fiona is round.
Fiona is white.
All round, red people are cold.
White, round people are cold.
If someone is nice and round then they are smart.
All smart, cold people are big.
If Anne is round then Anne is cold.
White people are round.",Q5,Fiona is big.,True
RelNeg-OWA-D3-1572,"The bald eagle eats the squirrel.
The squirrel eats the bald eagle.
The squirrel is kind.
If someone sees the squirrel then the squirrel eats the bald eagle.
If someone needs the bald eagle then the bald eagle does not see the squirrel.
If someone needs the bald eagle and they do not eat the squirrel then they need the squirrel.
If the bald eagle eats the squirrel then the squirrel does not see the bald eagle.
If someone eats the squirrel then they need the bald eagle.
If someone needs the bald eagle and the bald eagle does not see the squirrel then the bald eagle is nice.",Q7,The bald eagle is nice.,True
AttNonegNatLang-OWA-44,"That guy Alan sure is nice.
The young person who is always feeling cold is named Charlie.
Dave is nice and kind,though he's also rather cold.
Look, we know Gary is young and rough.
We have to accept he's also red, nice, cold, and blue.
Some cold people can be nice at times,and red at at other times.
A blue, cold natured person will be rough textured.
People of young age are rough and cold but some are nice.
A young person with red hands is rough around the edges.
People who are young are also blue.",Q16,Gary is green.,Uncertain
AttNonegNatLang-OWA-402,"Bob may be round, but he is also kind.
Charlie may be round, but he is also kind.
Dave may be round, but he is also kind.
Eric is green and cold too.
Every time you meet someone kind and nice, they'll be green, too.
When green, young and round fits a person, you'll see that rough will also fit.
Every single big person is a little green in some areas.
When rough and kind can describe a person, then cold will describe them, too.
A kind person will certainly be rough as well.
Nice people who feel blue often look green when ill.
If a person is both cold and round, that person is also someone who is red.",Q1,Dave is kind.,True
RelNeg-OWA-D3-1427,"The cat eats the rabbit.
The rabbit eats the tiger.
The tiger sees the cat.
If the tiger does not see the rabbit then the tiger is round.
If the cat needs the tiger then the tiger is round.
If something needs the cat then the cat does not need the tiger.
If something sees the tiger then the tiger is big.
If the tiger is round then the tiger needs the rabbit.
If something eats the rabbit then it needs the tiger.",Q6,The tiger is not round.,False
RelNeg-OWA-D3-440,"The cow is cold.
The dog is cold.
The dog likes the cow.
If someone is big and nice then they need the dog.
If someone chases the cow then the cow does not need the dog.
If the cow needs the dog and the dog likes the cow then the cow chases the dog.
If someone likes the cow then they do not chase the cow.
If someone chases the dog and they are not green then they are nice.
If someone needs the cow then the cow is not young.
If the dog does not chase the cow then the cow likes the dog.
If someone likes the dog then the dog needs the cow.",Q16,The cow is big.,Uncertain
